region,mse_2024,rmse_2024,r2_2024
Rakhiyal,34.79168084679276,5.898447325084184,0.006846214071664747
Bopal,35.69661459846303,5.974664392119697,0.006154495356432643
Ambawadi,35.69661459846303,5.974664392119697,0.006154495356432643
Chandkheda,35.98516586607287,5.998763694801861,0.006326334596540639
Vastral,34.849535632399636,5.903349526531496,0.007430212845235706
