date,hour,predicted_temperature,actual_temperature
2024-01-01,0,14.975047288250295,14.664117431640648
2024-01-01,1,14.863064462192984,14.370996093750025
2024-01-01,2,15.05552099278408,14.239648437500025
2024-01-01,3,16.268319899126737,16.01294860839846
2024-01-01,4,17.700103255072698,19.77295837402346
2024-01-01,5,19.000697580710426,22.67696533203128
2024-01-01,6,20.242302594254628,24.899819946289085
2024-01-01,7,21.243581690031817,26.105981445312523
2024-01-01,8,21.8495660286981,26.925393676757835
2024-01-01,9,22.04451205960347,27.46784362792971
2024-01-01,10,22.068917601816356,27.60016784667971
2024-01-01,11,21.820302657378008,27.3332458496094
2024-01-01,12,21.156535540177,26.27878723144533
2024-01-01,13,20.16602771919462,24.439385986328148
2024-01-01,14,19.220614163903456,22.5058532714844
2024-01-01,15,18.374123949733747,21.232827758789085
2024-01-01,16,17.579968300312334,20.204980468750023
2024-01-01,17,16.852768612463603,19.24524841308596
2024-01-01,18,16.284736478466804,18.398004150390648
2024-01-01,19,15.9107418327965,17.60004577636721
2024-01-01,20,15.58017656904728,17.043267822265648
2024-01-01,21,15.264713044860963,16.583398437500023
2024-01-01,22,15.071762052829937,16.232812500000023
2024-01-01,23,14.877553135031796,15.975381469726583
2024-01-02,0,14.669262433248514,15.74933776855471
2024-01-02,1,14.500330477567372,15.601007080078148
2024-01-02,2,14.677242789213429,15.537896728515648
2024-01-02,3,16.154296259906214,16.83747253417971
2024-01-02,4,17.728966288954627,19.976373291015648
2024-01-02,5,18.924362130667145,22.43674621582033
2024-01-02,6,20.06608201363903,24.46775207519533
2024-01-02,7,20.955235347248816,25.7575622558594
2024-01-02,8,21.475041061549234,26.77805480957033
2024-01-02,9,21.644886884775932,27.35224304199221
2024-01-02,10,21.59450353098702,27.52857360839846
2024-01-02,11,21.299817631351637,27.29831848144533
2024-01-02,12,20.57887727884002,26.171197509765648
2024-01-02,13,19.56909064146471,24.081597900390648
2024-01-02,14,18.641803437543505,22.574304199218773
2024-01-02,15,17.82334281702766,21.452996826171898
2024-01-02,16,17.11486417161853,20.423760986328148
2024-01-02,17,16.462283918802584,19.423211669921898
2024-01-02,18,15.937365508792412,18.472741699218773
2024-01-02,19,15.634219051530227,17.266198730468773
2024-01-02,20,15.410192202335878,16.600579833984398
2024-01-02,21,15.157360633058843,15.973016357421898
2024-01-02,22,14.8998296130631,15.433129882812525
2024-01-02,23,14.784713953113526,14.974282836914083
2024-01-03,0,14.692412004607586,14.590554809570335
2024-01-03,1,14.586003089767138,14.327142333984398
2024-01-03,2,14.773275416862596,14.145623779296898
2024-01-03,3,16.20406651350948,15.708612060546898
2024-01-03,4,17.711492673672524,19.359292602539085
2024-01-03,5,18.922815095730385,22.04346618652346
2024-01-03,6,20.12417866876515,24.160806274414085
2024-01-03,7,21.1694735755989,25.07135925292971
2024-01-03,8,21.78077275727779,25.756265258789085
2024-01-03,9,22.088448922545787,26.325280761718773
2024-01-03,10,22.153249466118407,26.401406860351585
2024-01-03,11,21.959027492198185,26.100762939453148
2024-01-03,12,21.304075128345993,24.885293579101585
2024-01-03,13,20.305419625817095,22.98743591308596
2024-01-03,14,19.414235393411897,21.318536376953148
2024-01-03,15,18.52820228711873,20.079217529296898
2024-01-03,16,17.759394485424398,18.95545349121096
2024-01-03,17,17.11492964403896,17.922952270507835
2024-01-03,18,16.528113287284263,17.008584594726585
2024-01-03,19,16.149685928057625,16.490991210937523
2024-01-03,20,15.959190376818732,16.217187500000023
2024-01-03,21,15.749845924083225,15.948571777343773
2024-01-03,22,15.507922331745341,15.671380615234398
2024-01-03,23,15.22788792361809,15.378442382812525
2024-01-04,0,15.065765301390243,15.11402282714846
2024-01-04,1,14.97743852029676,14.90552673339846
2024-01-04,2,15.25120146753072,14.721475219726583
2024-01-04,3,16.628425092738357,15.788385009765648
2024-01-04,4,18.108409168529597,18.54685363769533
2024-01-04,5,19.382303696841138,20.979821777343773
2024-01-04,6,20.553728811837757,23.04969177246096
2024-01-04,7,21.542386707575623,24.431481933593773
2024-01-04,8,22.174076677832115,25.545266723632835
2024-01-04,9,22.44152210344242,26.20832214355471
2024-01-04,10,22.452835703176945,26.31257019042971
2024-01-04,11,22.158351709637586,25.818292236328148
2024-01-04,12,21.370958793671512,24.36853942871096
2024-01-04,13,20.31188060303933,22.0668884277344
2024-01-04,14,19.4210658119378,20.41907653808596
2024-01-04,15,18.670344137594878,19.116860961914085
2024-01-04,16,17.926521884838344,17.95179138183596
2024-01-04,17,17.3370722728945,16.861077880859398
2024-01-04,18,16.831450438077304,16.011987304687523
2024-01-04,19,16.46390224286421,15.445520019531273
2024-01-04,20,16.138185367086514,15.130059814453148
2024-01-04,21,15.83766977777153,14.955529785156273
2024-01-04,22,15.577194161455298,14.798333740234398
2024-01-04,23,15.424676875742502,14.62098083496096
2024-01-05,0,15.292769809096448,14.47083435058596
2024-01-05,1,15.215355610431738,14.351159667968773
2024-01-05,2,15.476802225160824,14.272607421875025
2024-01-05,3,16.942035777033784,15.717675781250025
2024-01-05,4,18.48166310525618,18.52486572265628
2024-01-05,5,19.822136153001622,21.009072875976585
2024-01-05,6,21.01742991789914,23.10885009765628
2024-01-05,7,22.014916712686887,24.184014892578148
2024-01-05,8,22.5944376404648,25.156304931640648
2024-01-05,9,22.794344723187045,25.650720214843773
2024-01-05,10,22.793419797098913,25.819192504882835
2024-01-05,11,22.489161382468353,25.527627563476585
2024-01-05,12,21.700514102125737,24.34186706542971
2024-01-05,13,20.68555175384067,22.22773132324221
2024-01-05,14,19.709937928852817,20.686639404296898
2024-01-05,15,18.872146179894617,19.538369750976585
2024-01-05,16,18.136149857024204,18.492791748046898
2024-01-05,17,17.470188164192518,17.518106079101585
2024-01-05,18,16.884894042876613,16.646539306640648
2024-01-05,19,16.43508801411197,15.868997192382835
2024-01-05,20,16.100781561173598,15.57758483886721
2024-01-05,21,15.808501727961882,15.386087036132835
2024-01-05,22,15.603851414925282,15.211770629882835
2024-01-05,23,15.438098674567378,14.98383483886721
2024-01-06,0,15.314145380848485,14.744409179687525
2024-01-06,1,15.235841459457129,14.490258789062525
2024-01-06,2,15.435367350695538,14.277917480468773
2024-01-06,3,16.812103965501656,15.555291748046898
2024-01-06,4,18.359008616592998,18.13912353515628
2024-01-06,5,19.522491610706773,20.52582702636721
2024-01-06,6,20.64940914562744,22.595010375976585
2024-01-06,7,21.62931951823714,23.890176391601585
2024-01-06,8,22.24186899139627,24.93161926269533
2024-01-06,9,22.497391442648723,25.55982360839846
2024-01-06,10,22.5238827028928,25.757928466796898
2024-01-06,11,22.264556098224833,25.41695556640628
2024-01-06,12,21.528070419270506,24.0998474121094
2024-01-06,13,20.52852927032673,21.83606872558596
2024-01-06,14,19.5999379345565,20.326455688476585
2024-01-06,15,18.802347406259653,19.254495239257835
2024-01-06,16,18.06143989427043,18.516198730468773
2024-01-06,17,17.37666503184935,18.05463562011721
2024-01-06,18,16.768798906167163,17.795510864257835
2024-01-06,19,16.32247485868057,17.061013793945335
2024-01-06,20,15.93322958670295,16.762963867187523
2024-01-06,21,15.651378390233383,16.40155944824221
2024-01-06,22,15.445255004136955,16.027185058593773
2024-01-06,23,15.283817287522291,15.697671508789083
2024-01-07,0,15.194303101633825,15.499230957031273
2024-01-07,1,15.126978923882165,15.189431762695335
2024-01-07,2,15.32080699930172,14.99976501464846
2024-01-07,3,16.695197858865754,16.122109985351585
2024-01-07,4,18.253047549591045,18.383828735351585
2024-01-07,5,19.51457687793467,20.7497497558594
2024-01-07,6,20.751744374383627,22.837670898437523
2024-01-07,7,21.76190967891159,23.853189086914085
2024-01-07,8,22.482187166279637,25.079156494140648
2024-01-07,9,22.6602314076539,25.63962707519533
2024-01-07,10,22.589838918721917,25.886804199218773
2024-01-07,11,22.245971146616537,25.759301757812523
2024-01-07,12,21.503638831271154,24.887963867187523
2024-01-07,13,20.416241726659212,23.26801452636721
2024-01-07,14,19.484643110229296,22.11545715332033
2024-01-07,15,18.655277226702175,21.245690917968773
2024-01-07,16,17.86297604925955,20.843667602539085
2024-01-07,17,17.17600083454789,20.464883422851585
2024-01-07,18,16.58900546148485,20.29969177246096
2024-01-07,19,16.143990936726176,19.1926208496094
2024-01-07,20,15.92019169965634,18.8525329589844
2024-01-07,21,15.681848413787055,18.478662109375023
2024-01-07,22,15.502768815533045,18.276025390625023
2024-01-07,23,15.36321318079357,18.093560791015648
2024-01-08,0,15.201205545264873,18.26612243652346
2024-01-08,1,15.087531516484177,18.293542480468773
2024-01-08,2,15.282894591052846,18.40107116699221
2024-01-08,3,16.514009598940163,19.171197509765648
2024-01-08,4,17.967416234063165,20.54358825683596
2024-01-08,5,19.287652577526107,22.1462341308594
2024-01-08,6,20.548008732242604,23.7233825683594
2024-01-08,7,21.564409485449467,24.338723754882835
2024-01-08,8,22.17954560568764,25.387506103515648
2024-01-08,9,22.377435777850987,26.3244567871094
2024-01-08,10,22.40220990086246,26.782647705078148
2024-01-08,11,22.14984028898169,26.56385192871096
2024-01-08,12,21.476048735035995,25.652749633789085
2024-01-08,13,20.4705819280791,23.979653930664085
2024-01-08,14,19.51089041575,23.001138305664085
2024-01-08,15,18.65161621848284,22.408227539062523
2024-01-08,16,17.84546696035928,22.2065368652344
2024-01-08,17,17.107284855511143,21.7248474121094
2024-01-08,18,16.530674107044536,21.14084777832033
2024-01-08,19,16.151031267043397,20.51545104980471
2024-01-08,20,15.815473694259016,20.20215759277346
2024-01-08,21,15.49524593264437,19.935327148437523
2024-01-08,22,15.299380929110942,19.48508605957033
2024-01-08,23,15.102239002187654,19.395303344726585
2024-01-09,0,14.890802623388412,19.033807373046898
2024-01-09,1,14.719319399860463,18.841943359375023
2024-01-09,2,14.898903501403145,18.668786621093773
2024-01-09,3,16.398263935941806,19.496667480468773
2024-01-09,4,17.996715167298813,21.11420593261721
2024-01-09,5,19.210164283555333,22.75705871582033
2024-01-09,6,20.36912680848765,24.27692565917971
2024-01-09,7,21.27170843813398,26.3679138183594
2024-01-09,8,21.79936443511261,27.33960876464846
2024-01-09,9,21.97177532772458,28.042810058593773
2024-01-09,10,21.920631067391867,28.2136169433594
2024-01-09,11,21.621494721080392,28.016015625000023
2024-01-09,12,20.88966648218037,27.01856384277346
2024-01-09,13,19.864629703588843,25.319497680664085
2024-01-09,14,18.923338292952682,24.2744079589844
2024-01-09,15,18.092517001795347,23.241555786132835
2024-01-09,16,17.37333867093657,22.35422668457033
2024-01-09,17,16.710902929206426,21.92746887207033
2024-01-09,18,16.17805702284865,21.4084411621094
2024-01-09,19,15.870332344691738,19.742059326171898
2024-01-09,20,15.642922165831514,19.430535888671898
2024-01-09,21,15.386272248209709,19.179132080078148
2024-01-09,22,15.124851907166201,18.978295898437523
2024-01-09,23,15.007997731370358,18.794046020507835
2024-01-10,0,14.914301807447087,18.624414062500023
2024-01-10,1,14.80628586898609,18.455728149414085
2024-01-10,2,14.996386446454833,18.163369750976585
2024-01-10,3,16.448785836841367,19.090005493164085
2024-01-10,4,17.978977659536113,20.92969665527346
2024-01-10,5,19.208593884770824,22.862817382812523
2024-01-10,6,20.428100859057587,24.640954589843773
2024-01-10,7,21.489182165068936,25.891152954101585
2024-01-10,8,22.109713394886423,26.913018798828148
2024-01-10,9,22.422036190239957,27.561868286132835
2024-01-10,10,22.487815373659647,27.7792907714844
2024-01-10,11,22.290660193436285,27.57654724121096
2024-01-10,12,21.625816516242285,26.693505859375023
2024-01-10,13,20.612078978681208,24.865090942382835
2024-01-10,14,19.70743577891517,23.48816833496096
2024-01-10,15,18.80802149931955,22.385369873046898
2024-01-10,16,18.02760290074,21.351922607421898
2024-01-10,17,17.373405132143755,20.485009765625023
2024-01-10,18,16.777726475198833,19.75727233886721
2024-01-10,19,16.39358397729371,18.643212890625023
2024-01-10,20,16.20021149745433,18.04633483886721
2024-01-10,21,15.987705453597602,17.577920532226585
2024-01-10,22,15.742128248892383,17.227441406250023
2024-01-10,23,15.45786466589662,16.900857543945335
2024-01-11,0,15.293293612691572,16.661218261718773
2024-01-11,1,15.203632890510939,16.53449401855471
2024-01-11,2,15.481530298878129,16.470025634765648
2024-01-11,3,16.879553223653964,17.817010498046898
2024-01-11,4,18.381888522285944,20.48825988769533
2024-01-11,5,19.67502183900314,23.00708923339846
2024-01-11,6,20.864138214476686,25.16817626953128
2024-01-11,7,21.867727157988888,26.772027587890648
2024-01-11,8,22.50895712500779,27.91111145019533
2024-01-11,9,22.780441602391242,28.61765441894533
2024-01-11,10,22.791926063956595,28.815835571289085
2024-01-11,11,22.492994672995675,28.51731262207033
2024-01-11,12,21.693710281428036,27.326501464843773
2024-01-11,13,20.61863753177877,25.23557434082033
2024-01-11,14,19.71436935274461,23.5275817871094
2024-01-11,15,18.952310024362646,22.23792419433596
2024-01-11,16,18.1972543149783,21.14533386230471
2024-01-11,17,17.598902634528816,20.152627563476585
2024-01-11,18,17.085644726805164,19.224725341796898
2024-01-11,19,16.712545693748407,18.115747070312523
2024-01-11,20,16.38190973093958,17.388482666015648
2024-01-11,21,16.076855652992343,16.73987731933596
2024-01-11,22,15.81244624533329,16.20954284667971
2024-01-11,23,15.657625591702018,15.81366882324221
2024-01-12,0,15.523726419675167,15.553689575195335
2024-01-12,1,15.445143085454413,15.469995117187525
2024-01-12,2,15.71053815587458,15.49445495605471
2024-01-12,3,17.197900163159552,16.894937133789085
2024-01-12,4,18.760779466904992,20.28675231933596
2024-01-12,5,20.12149679449929,23.05196533203128
